service_name,score_avg,good_pct,bad_pct,num_rows
netflix,25.31,0.0,87.5,8
gateway,48.94,50.0,50.0,8
zoom,51.62,33.33,33.33,12
tiktok,53.03,25.0,33.33,12
discord,53.74,33.33,33.33,12
teams,54.02,25.0,33.33,12
stack_overflow,54.7,41.67,33.33,12
cloudflare,57.45,50.0,50.0,8
bocconi_www,57.72,33.33,33.33,12
youtube,59.97,33.33,33.33,12
instagram,59.98,41.67,33.33,12
github,60.64,33.33,33.33,12
x_com,62.25,58.33,33.33,12
spotify,63.37,33.33,33.33,12
meet,64.7,33.33,33.33,12
google,69.75,41.67,25.0,12
